ticker,proventos_12m,dt_ultimo_provento,vl_ultimo_provento,pagto_mês,data_com_mês,valor_mês,data_com_futura,valor_futuro,Ticker,2021,2022,2023,2024,2025,,,,,,2021,2022,2023,2024,2025,anos,PREÇO,YIELD,YIELD 12M,Data Pagamento,Data-com,Valor,Data-com Futura,Valor Futuro,Média + baixa,Mediana,Média,Dividendos 12 meses,Data ultimo provento,classe,valor por cota,,Data Pagamento,Data-com,Valor,Data-com-Futura,Valor-Futuro,,Data-com Estiva Fii,Data-Pagamento Estimativa FII,Valor estimativa FII,,TICKER,TEMPO DE APURAÇÃO,Setor,,TICKER,Data Com,Data Pagamento,Valor,<=investidor10 data-com futura,,Ticker,2020,2021,2022,2023,2024,2020,2021
AGRO3,"0,75",28/11/2025,"0,75",---,---,---,---,---,AGRO3,"2,6212","5,2550","3,2124","1,5560","0,7529",,,,,,"2,6212","5,2550","3,2124","1,5560","0,7529",5 Anos,"18,60","14,09%","4,03%",,,,,,"2,62","2,62","2,68","0,75",28/11/25,Acao,,,---,---,---,---,---,,,,,,AGRO3,5 anos,AGRO,,AGRO3,----,----,----,,,AGRO3,"0,7097","2,6212","5,2550","3,2124","1,5560","0,71","2,62"
SLCE3,"1,45",23/12/2025,"0,05",---,---,---,---,---,SLCE3,"0,5314",,"0,0545","0,8300","1,4521",,,,,,"0,5314",,"0,0545","0,8300","1,4521",4 Anos,"17,00","4,00%","8,53%",,,,,,"0,68","0,68","0,72","1,45",23/12/25,Acao,,,---,---,---,---,---,,,,,,SLCE3,5 anos,AGRO,,SLCE3,----,----,----,,,SLCE3,"0,4930","0,5314","1,3870","1,3531","0,8300","0,49","0,53"
ABCB4,"2,62",10/07/2025,"1,09",---,---,---,---,---,ABCB4,"1,2542","0,3700","1,5770","1,6450","2,6180",,,,,,"1,2542","0,3700","1,5770","1,6450","2,6180",5 Anos,"25,06","6,29%","10,45%",,,,,,"1,58","1,58","1,49","2,62",10/07/25,Acao,,,---,---,---,---,---,,,,,,ABCB4,5 anos,BANCO,,ABCB4,----,----,----,,,ABCB4,"0,1587","1,2542","1,3970","1,5770","1,6450","0,16","1,25"
BBAS3,"1,18",12/12/2025,"0,05",---,---,---,---,---,BBAS3,,,"1,1284","2,3929","1,0211",,,,,,,,"1,1284","2,3929","1,0211",3 Anos,"22,21","5,08%","5,31%",,,,,,"1,13","1,13","1,51","1,18",12/12/25,Acao,,,---,---,---,---,---,,,,,,BBAS3,5 anos,BANCO,,BBAS3,----,----,----,,,BBAS3,"0,7378","1,1311","2,0694","2,2701","2,5972","0,74","1,13"
BBDC4,"1,66",02/01/2026,"0,02",02/01/26,01/12/25,"0,0153",---,---,BBDC4,,,,"0,2924","1,0631",,,,,,,,,"0,2924","1,0631",2 Anos,"19,32","3,51%","8,59%",,,,,,"0,68","0,68","0,68","1,66",02/01/26,Acao,,,02/01/26,01/12/25,"0,0153",---,---,,,,,,BBDC4,5 anos,BANCO,,BBDC4,04/05/2026,01/06/2026,"0,01612859",,,BBDC4,"0,7070","1,0264","0,4243","1,6969","1,1143","0,71","1,03"
BRSR6,"1,60",09/01/2026,"0,44",09/01/26,26/12/25,"0,374",---,---,BRSR6,"0,7263","0,7470","0,5509","0,5499","1,3829",,,,,,"0,7263","0,7470","0,5509","0,5499","1,3829",5 Anos,"15,62","4,65%","10,24%",,,,,,"0,73","0,73","0,79","1,60",09/01/26,Acao,,,09/01/26,26/12/25,"0,3740",---,---,,,,,,BRSR6,5 anos,BANCO,,BRSR6,04/05/2026,18/05/2026,"0,07085547",,,BRSR6,"0,6569","0,8979","0,8814","0,9176","0,9949","0,66","0,90"
ITUB4,"4,73",02/01/2026,"0,02",02/01/26,28/11/25,"0,01445",---,---,ITUB4,,,,"0,3812","3,4106",,,,,,,,,"0,3812","3,4106",2 Anos,"43,19","4,39%","10,95%",,,,,,"1,90","1,90","1,90","4,73",02/01/26,Acao,,,02/01/26,28/11/25,"0,0145",---,---,,,,,,ITUB4,5 anos,BANCO,,ITUB4,29/05/2026,01/07/2026,"0,01545470",,,ITUB4,"1,3036","0,9093","1,0181","1,2566","2,4133","1,30","0,91"
SANB11,"2,04",07/11/2025,"0,54",---,---,---,---,---,SANB11,"1,7158","1,3272","1,6676","0,8053","1,8762",,,,,,"1,7158","1,3272","1,6676","0,8053","1,8762",5 Anos,"29,04","5,74%","7,02%",,,,,,"1,67","1,67","1,48","2,04",07/11/25,Acao,,,---,---,---,---,---,,,,,,SANB11,5 anos,BANCO,,SANB11,----,----,----,,,SANB11,"2,8053","2,8358","2,2417","1,6676","1,6102","2,81","2,84"
SANB4,"1,07",07/11/2025,"0,28",---,---,---,---,---,SANB4,"0,8987","0,6957","0,8735","0,4218","0,9828",,,,,,"0,8987","0,6957","0,8735","0,4218","0,9828",5 Anos,"14,77","5,91%","7,24%",,,,,,"0,87","0,87","0,77","1,07",07/11/25,Acao,,,---,---,---,---,---,,,,,,SANB4,5 anos,BANCO,,SANB4,----,----,----,,,SANB4,"1,4694","1,4854","1,1748","0,8735","0,8435","1,47","1,49"
ALUP11,"1,50",06/01/2026,"0,30",06/01/26,13/11/25,"0,3",---,---,ALUP11,"0,8400",,"1,8000","0,7800","1,2900",,,,,,"0,8400",,"1,8000","0,7800","1,2900",4 Anos,"34,50","3,09%","4,35%",,,,,,"1,07","1,07","1,18","1,50",06/01/26,Acao,,,06/01/26,13/11/25,"0,3000",---,---,,,,,,ALUP11,5 anos,ELETRICO,,ALUP11,----,----,----,,,ALUP11,"0,6900","0,8400","1,2300","1,8000","1,4100","0,69","0,84"
